element_id,name,category,query_label,tfidf_x,tfidf_y,hash_x,hash_y,tfidf_kmeans_cluster,hashing_kmeans_cluster
way/4253657,Red Lion Square Gardens,park relaxed,parks,0.46821048148187944,-0.24154216120186167,0.36204317548924625,0.20344985245287858,0,2
way/4253887,Berkeley Square,park relaxed,parks,0.5636390439303562,-0.058963752811939565,0.5646808652581112,0.07294377377122593,0,2
way/4254099,Victoria Embankment Gardens,park relaxed,parks,0.23068660742805164,0.08389668687362198,0.5318586109309165,-0.0013493887335349198,1,1
way/4255959,Goose Green,park relaxed,parks,0.5558393517918365,-0.29124508462569265,0.38807072164673917,0.4365356210055342,0,2
way/4256144,Argyle Square Gardens,park relaxed,parks,0.44987158286985834,-0.2012038296398728,0.39867524429931417,0.17294278251714815,0,2
way/4256229,Golden Square,park relaxed,parks,0.5267070921284706,-0.23220922367818575,0.42325438455305314,0.2919739586746155,0,2
way/4256264,Vauxhall Pleasure Gardens,park relaxed,parks,0.6286727341568145,0.03120415205850719,0.6596914109295581,0.04161937236563321,0,1
way/4256950,Whitehall Garden,park relaxed,parks,0.6851424480607949,-0.3490334650467837,0.47955076958097737,0.439281177544711,0,2
way/4256953,Whitehall Garden,park relaxed,parks,0.6826235469786073,-0.33874591176239555,0.5588794014837828,0.3731939327998389,0,2
way/4257005,Grosvenor Gardens,park relaxed,parks,0.6819389867062993,-0.37933535705001176,0.4771012346598545,0.4449779706791776,0,2
way/4257006,Grosvenor Gardens,park relaxed,parks,0.6819389867062993,-0.37933535705001176,0.4771012346598545,0.4449779706791776,0,2
way/4257697,Fairlop Waters Country Park,park relaxed,parks,0.574644092853818,0.06244453775071232,0.5663686558581247,0.09100311207140398,0,2
way/4258095,Christchurch Gardens,park relaxed,parks,0.6489336148462731,-0.2561027517639123,0.5157505207842904,0.35918914924337747,0,2
way/4259619,Dean's Yard,park relaxed,parks,0.6470650343877072,-0.27683791363628163,0.3846482908280606,0.2571161524665113,0,2
way/4259627,College Green,park relaxed,parks,0.4656607795192931,-0.13946029086137207,0.464223626742529,0.10125608219595925,0,1
way/4259687,Victoria Tower Gardens,park relaxed,parks,0.5610898235727513,-0.19498669739970692,0.4772625076676165,0.20480931099814503,0,2
way/4259726,St John's Gardens,park relaxed,parks,0.6066555895785493,-0.22190500583619008,0.4969050462000802,0.2987467577249698,0,2
way/4259897,Riverside Walk Gardens,park relaxed,parks,0.6819389867062993,-0.37933535705001176,0.4280433071302051,0.402922631941955,0,2
way/4259902,Millbank Gardens,park relaxed,parks,0.6819389867062993,-0.37933535705001176,0.5741657515328332,0.627231124772638,0,2
way/4259910,Causton Street Playground,park relaxed,parks,0.656387993932271,-0.26452234161177574,0.4139542742254992,0.30694853483908824,0,2
way/4260009,Archbishop's Park,park relaxed,parks,0.6755050487024183,0.05873771284343531,0.6853169227083218,0.07235541829171525,0,2
way/4267353,Clitterhouse Playing Fields,park relaxed,parks,0.4886044478939436,-0.2120254371374719,0.36612785708546985,0.2555730328170328,0,2
